"IDART","DEF","PMPA","CODE","NOTA","CCOMPT_ACH","COMPO","IDRAY","IDFAM","IDSSFAM","DERPRIX","CCOMPT_VENT","FRAIS","TYP_FRAIS","Q_MINI","Q_MAXI","Q_APPRO","IMAGE","PESE","FIN_BONUS","DEBUT_BONUS","COCCIBONUS","FIN_RBT","DEBUT_RBT","NUM_PROMO","PA_PROMO","FIN_PROMO","DEBUT_PROMO","PREPARATION","IDCODE_TVA","PRIX_TTC","PRIX_PROMO","NO_PROMO","REMISE_IMMEDIATE","NO_SOLDE","NO_COM_VEND","NO_REMISE","PTS_FIDEL","COMP_DEF","GES_STOCK","ID_FAB","SOMMEIL","IDCOULEUR","IDTAILLE","IDMODELE","GES_NO_SERIE","OCCAS","WEB","MODIF","IDCODE_TVA_ACH","ABANDON","PSTVA2","IDCode_TVA2","OEUVRE_ART","POIDS","ACHETE","GRATUIT","PRESTATION","ECOTAX","NO_COM_PREST","IDSAISON","COM_PREPA","PRN_PREPA","Abonnement","N_Unite","DUREE_VALIDITE","DUREE_GARANTIE","LOCATION","DLV","TEMPS_PREPA","MAJ","DUREE_ABON","NO_IMPRIM","CREATION","VAL_PRESTATION","IDCOnsigne","IDART_COUPON","COUPON","NO_COM_REP","Billet","N_TALON","TIMBRE","N_TalonFixe","NO_FIDEL","MAJ_WEB","MAJ_TRSFT","VENTE_BLOQUE","IDAUX","PressingVente","Colisage","Coef_Com","PRixNulAutorise","PrixNegatif","CondVente","Unite","Volume","DegreAlcool","IDCATEGORIE_ALCOOL","Premix","BaseHT","Consigne","Tare","CUMP","SOLDE_OLD","ID_BEBAT1","ID_BEBAT2","ID_RECUPEL","Caution","BA","CCVENTE_CEE","CCVENTE_HORS_CEE","CCVENTE_EXO","Q_HAXE","PREPA_CARACT_SP","CREDIT_TEMPS","IDBAR_ECO","CAT_SOLDES","IDReM_ART","CCACHAT_CEE","CCACHAT_HORS_CEE","CCACHAT_EXO","CODE_NC","PVC","COLORIS","NEGOCE","OPTIONS","ArticlePropre","REmisePromo"
"17","DECAPSULEUR HAPPY THERAPIE VIN ","6.8","","","606000000","0","1","5","11","6.8","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","17.7","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.6896412037","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","14.75","0","0","6.8","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"18","ETUI A LUNETTES DE SOLEIL INCOGNITO ","3.6","","","606000000","0","1","1","3","3.6","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","9.5","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.69016203703","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","7.92","0","0","3.6","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"19","ETUI A LUNETTES DE SOLEIL MENAGER SA MONTURE ","3.6","","","606000000","0","1","1","3","3.6","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","9.5","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.69053240741","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","7.92","0","0","3.6","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"20","SAC A TARTE C'EST DU GATEAU ","4.25","","","606000000","0","1","7","13","4.25","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","10.65","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.69101851852","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","8.880000000000001","0","0","4.25","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"21","SAC A TARTE TARTE SUR LA TABLE ","4.25","","","606000000","0","1","7","13","4.25","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","10.65","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.69137731481","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","8.880000000000001","0","0","4.25","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"22","TABLIER CUISINE COMBAT HOMME VS SAUCISSE","8.15","","","606000000","0","1","7","13","8.15","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","20.4","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.69180555556","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","17","0","0","8.15","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"23","ETUI A LENTILLES DES LENTILLES ET DES MECHANTES ","2.55","","","606000000","0","1","1","3","2.55","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","5.6","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.69229166667","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","4.67","0","0","2.55","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"24","ETUI A LENTILLES TU ME VOIS ","2.55","","","606000000","0","1","1","3","2.55","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","5.6","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.69278935185","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","4.67","0","0","2.55","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"25","SUCRIER BOULE CAFE CROISSANT ","4.4","","","606000000","0","1","1","3","4.4","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","10.9","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.69315972222","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","9.08","0","0","4.4","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"26","PLATEAU ROND ASSOCIATION DE MALES FETARDS ","5.75","","","606000000","0","1","7","13","5.75","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","14.2","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.69357638889","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","11.83","0","0","5.75","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"27","PLATEAU METAL ROND BISTROT DES AMIS ","5.75","","","606000000","0","1","7","13","5.75","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","14.2","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.69424768518","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","11.83","0","0","5.75","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"30","MUG PERE COLATEUR ","2.25","","","606000000","0","1","6","12","0","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","6.5","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.69836805556","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","5.42","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"31","BOITE A THE METAL MISS FIFTIES ","3","","","606000000","0","1","1","3","3","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","7.5","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.70306712963","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","6.25","0","0","3.3","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"32","MUG SUPER PAPA ","2.6","","","606000000","0","1","6","12","2.6","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","6.5","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.70364583333","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","5.42","0","0","2.6","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"38","BOITE OVALE CAFE 50 GR","1.36","","","606000000","0","2","13","25","1.36","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","3.4","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.70415509259","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","2.83","0","0","1.36","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"39","BOITE OVALE CASSIS 50 GR","1.36","","","606000000","0","2","13","25","1.36","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","3.4","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.70449074074","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","2.83","0","0","1.36","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"40","SAC ANIS 250 GR","4.23","","","606000000","0","2","13","25","4.23","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","0","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42956.68707175926","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","1","1","0","0","","","0","0","0","0","0","0","0","4.23","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"41","BOITE OVALE ANIS 50 GR","1.36","","","606000000","0","2","13","25","1.36","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","3.4","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.70560185185","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","2.83","0","0","1.36","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"42","BOITE OVALE VIOLETTE 50 GR","1.36","","","606000000","0","2","13","25","1.36","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","3.4","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.70615740741","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","2.83","0","0","1.36","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
